"district","county","subcounty","parish","year","school_name","ownership","gender","p1","p2","p3","p4","p5","p6","p7","total","location_code","facility_id"
"Masindi","Bujenje","Bikonzi","Bikonzi","2023","Kihoole Primary School","Government","Girls","37","20","15","20","13","14","9.0","128","D02S12P01","kihoole-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2023","Kiina Primary School","Government","Girls","37","46","38","28","32","26","29.0","236","D02S12P03","kiina-primary-school_masindi"
"Masindi","Buruli","Miirya","Kiguulya","2023","Kijogoro Primary School","Government","Girls","99","99","100","65","32","26","19.0","440","D02S03P04","kijogoro-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Kijunjubwa","2023","Kijunjubwa Primary School","Government","Girls","52","50","42","34","38","35","36.0","287","D02S23P01","kijunjubwa-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2023","Kikingura Primary School","Government","Girls","84","84","86","97","68","69","32.0","520","D02S13P03","kikingura-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Kikube","2023","Kikuube Primary School","Government","Girls","33","43","31","38","22","30","22.0","219","D02S12P02","kikuube-primary-school_masindi"
"Masindi","Buruli","Labongo","Kihonda","2023","Kilanyi Primary School","Government","Girls","50","43","43","18","31","21","14.0","220","D02S07P03","kilanyi-primary-school_masindi"
"Masindi","Buruli","Labongo","Kihonda","2023","Kilanyi Muslim Primary School","Government","Girls","28","28","18","27","17","24","19.0","161","D02S07P03","kilanyi-muslim-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Kimanya","2023","Kimanya Primary School","Government","Girls","58","45","58","64","38","32","10.0","305","D02S16P04","kimanya-primary-school_masindi"
"Masindi","Bujenje","Nyantonzi","Kimanya","2023","Kimanya Upper Primary school","Government","Girls","56","33","31","23","20","23","18.0","204","D02S16P04","kimanya-upper-primary-school_masindi"
"Masindi","Buruli","Kimengo","Kimengo","2023","Kimengo Primary School","Government","Girls","111","62","62","41","28","25","16.0","345","D02S10P01","kimengo-primary-school_masindi"
"Masindi","Buruli","Miirya","Bigando","2023","Kinuuma Primary School","Government","Girls","27","49","34","43","37","29","22.0","241","D02S03P02","kinuuma-primary-school_masindi"
"Masindi","Buruli","Miirya","Kiguulya","2023","Kinumi Primary School","Government","Girls","102","91","67","75","47","28","22.0","432","D02S03P04","kinumi-primary-school_masindi"
"Masindi","Bujenje","Kabango Town Council","Kinyara Sugar Ltd","2023","Kinyara Sugar Works Primary School","Government","Girls","90","159","141","120","128","129","64.0","831","D02S20P02","kinyara-sugar-works-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Kikube","2023","Kinywamurara Primary School","Government","Girls","29","39","14","24","15","8","7.0","136","D02S12P02","kinywamurara-primary-school_masindi"
"Masindi","Bujenje","Bulima Town Council","Kisalizi Ward","2023","Kisalizi Primary School","Government","Girls","47","43","25","56","20","30","12.0","233","D02S17P02","kisalizi-primary-school_masindi"
"Masindi","Buruli","Kiruli","Katuugo","2023","Kisindizi II Primary School","Government","Girls","44","44","40","26","25","17","14.0","210","D02S19P02","kisindizi-ii-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese West","2023","Kisindizi Public Primary School","Government","Girls","51","51","20","18","12","7","7.0","166","D02S05P04","kisindizi-public-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2023","Kitamba Primary School","Government","Girls","32","30","18","17","13","13","6.0","129","D02S13P03","kitamba-primary-school_masindi"
"Masindi","Buruli","Kiruli","Kiruli","2023","Kitanyata Primary School","Government","Girls","88","121","94","82","68","60","22.0","535","D02S19P01","kitanyata-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Rukondwa","2023","Kitonozi Primary School","Government","Girls","49","55","45","40","26","26","16.0","257","D02S12P03","kitonozi-primary-school_masindi"
"Masindi","Buruli","Miirya","Kiguulya","2023","Kitwetwe Primary School","Government","Girls","58","29","22","18","5","6","3.0","141","D02S03P04","kitwetwe-primary-school_masindi"
"Masindi","Buruli","Pakanyi","Kyakamese East","2023","Kiyuya Primary School","Government","Girls","55","30","25","34","24","20","16.0","204","D02S05P03","kiyuya-primary-school_masindi"
"Masindi","Buruli","Miirya","Isimba","2023","Kyabaswa Primary School","Government","Girls","49","48","33","32","35","23","11.0","231","D02S03P03","kyabaswa-primary-school_masindi"
"Masindi","Bujenje","Bulima Town Council","Marongo Ward","2023","Marongo Primary School","Government","Girls","49","51","55","42","36","34","13.0","280","D02S17P03","marongo-primary-school_masindi"
"Masindi","Buruli","Kijunjubwa","Miduma","2023","Miduuma Primary School","Government","Girls","24","21","19","8","14","13","4.0","103","D02S23P02","miduuma-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2023","Mihembero Primary School","Government","Girls","25","35","29","24","19","31","18.0","181","D02S13P03","mihembero-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Kitamba","2023","Miramura Primary School","Government","Girls","46","38","24","34","22","17","8.0","189","D02S13P03","miramura-primary-school_masindi"
"Masindi","Bujenje","Bikonzi","Bikonzi","2023","Masindi Centre For The Handcapped","Government","Girls","30","15","7","19","6","4","6.0","87","D02S12P01","masindi-centre-for-the-handcapped_masindi"
"Masindi","Bujenje","Bwijanga","Kahembe","2023","Murro Primary School","Government","Girls","16","19","25","19","11","15","12.0","117","D02S13P02","murro-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2023","Ntooma Primary School","Government","Girls","68","66","53","74","45","48","26.0","380","D02S13P04","ntooma-primary-school_masindi"
"Masindi","Bujenje","Bwijanga","Ntoma","2023","Nyabubale Primary School","Government","Girls","45","19","20","11","8","4","3.0","110","D02S13P04","nyabubale-primary-school_masindi"
"Masindi","Bujenje","Budongo","Nyabyeya","2023","Nyabyeya Primary School","Government","Girls","151","159","116","125","99","90","39.0","779","D02S22P04","nyabyeya-primary-school_masindi"
