"district","county","subcounty","school_name","ownership","year","gender","s1","s2","s3","s4","s5","s6","total","location_code","facility_id"
"Kayunga","Ntenjeru","Nazigo","Musiitwa Seed Secondary School","Government","2019","Boys","","","","","","","","D01S04","musiitwa-seed-secondary-school_kayunga"
"Kayunga","Ntenjeru","Nazigo","Musiitwa Seed Secondary School","Government","2019","Girls","","","","","","","","D01S04","musiitwa-seed-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kayunga","Kanjuki Senior Secondary School","Government","2019","Boys","","","","","","","","D01S06","kanjuki-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kayunga","Kanjuki Senior Secondary School","Government","2019","Girls","","","","","","","","D01S06","kanjuki-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kayunga Town Council","Namagabi Senior Secondary School","Government","2019","Boys","74.0","68.0","76.0","84.0","78.0","71.0","451.0","D01S05","namagabi-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kayunga Town Council","Ndeeba Senior Secondary School","Government","2019","Boys","","","","","","","","D01S05","ndeeba-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kayunga Town Council","Namagabi Senior Secondary School","Government","2019","Girls","82.0","68.0","71.0","84.0","55.0","57.0","417.0","D01S05","namagabi-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kayunga Town Council","Ndeeba Senior Secondary School","Government","2019","Girls","","","","","","","","D01S05","ndeeba-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Busaana Town Council","Busaana Secondary School","Government","2019","Boys","","","","","","","","D01S07","busaana-secondary-school_kayunga"
"Kayunga","Ntenjeru","Busaana Town Council","Busaana Secondary School","Government","2019","Girls","","","","","","","","D01S07","busaana-secondary-school_kayunga"
"Kayunga","Ntenjeru","Nazigo Town Council","St Kalemba Senior Secondary School","Government","2019","Boys","","","","","","","","D01S03","st-kalemba-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Nazigo Town Council","St Kalemba Senior Secondary School","Government","2019","Girls","","","","","","","","D01S03","st-kalemba-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kangulumira Town Council","Kangulumira Public Secondary School","Government","2019","Boys","","","","","","","","D01S01","kangulumira-public-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kangulumira Town Council","Kangulumira Public Secondary School","Government","2019","Girls","","","","","","","","D01S01","kangulumira-public-secondary-school_kayunga"
"Kayunga","Bbaale","Galiraya","Galiraya Seed Secondary School","Government","2020","Boys","40.0","35.0","35.0","24.0","0.0","0.0","134.0","D01S12","galiraya-seed-secondary-school_kayunga"
"Kayunga","Bbaale","Galiraya","Galiraya Seed Secondary School","Government","2020","Girls","56.0","40.0","18.0","14.0","0.0","0.0","128.0","D01S12","galiraya-seed-secondary-school_kayunga"
"Kayunga","Bbaale","Bbaale","Bbaale Senior Secondary School","Government","2020","Boys","","","","","","","","D01S09","bbaale-senior-secondary-school_kayunga"
"Kayunga","Bbaale","Bbaale","Bbaale Senior Secondary School","Government","2020","Girls","","","","","","","","D01S09","bbaale-senior-secondary-school_kayunga"
"Kayunga","Bbaale","Kayonza","Naalinya Irene Ndagire Secondary School","Government","2020","Boys","177.0","176.0","168.0","91.0","0.0","0.0","612.0","D01S10","naalinya-irene-ndagire-secondary-school_kayunga"
"Kayunga","Bbaale","Kayonza","Naalinya Irene Ndagire Secondary School","Government","2020","Girls","168.0","162.0","161.0","69.0","0.0","0.0","560.0","D01S10","naalinya-irene-ndagire-secondary-school_kayunga"
"Kayunga","Bbaale","Kitimbwa","Kitatya Senior Secondary School","Government","2020","Boys","108.0","82.0","80.0","75.0","17.0","10.0","372.0","D01S11","kitatya-senior-secondary-school_kayunga"
"Kayunga","Bbaale","Kitimbwa","Kitatya Senior Secondary School","Government","2020","Girls","112.0","112.0","72.0","60.0","10.0","2.0","368.0","D01S11","kitatya-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Busaana","St Peters Kibuzi Senior Secondary School","Government","2020","Boys","52.0","44.0","24.0","24.0","9.0","8.0","161.0","D01S08","st-peters-kibuzi-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Busaana","St Peters Kibuzi Senior Secondary School","Government","2020","Girls","62.0","39.0","30.0","13.0","6.0","7.0","157.0","D01S08","st-peters-kibuzi-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Nazigo","Musiitwa Seed Secondary School","Government","2020","Boys","","","","","","","","D01S04","musiitwa-seed-secondary-school_kayunga"
"Kayunga","Ntenjeru","Nazigo","Musiitwa Seed Secondary School","Government","2020","Girls","","","","","","","","D01S04","musiitwa-seed-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kayunga","Kanjuki Senior Secondary School","Government","2020","Boys","","","","","","","","D01S06","kanjuki-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kayunga","Kanjuki Senior Secondary School","Government","2020","Girls","","","","","","","","D01S06","kanjuki-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kayunga Town Council","Namagabi Senior Secondary School","Government","2020","Boys","81.0","63.0","75.0","84.0","55.0","54.0","412.0","D01S05","namagabi-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kayunga Town Council","Ndeeba Senior Secondary School","Government","2020","Boys","","","","","","","","D01S05","ndeeba-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kayunga Town Council","Namagabi Senior Secondary School","Government","2020","Girls","64.0","58.0","69.0","74.0","68.0","71.0","404.0","D01S05","namagabi-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kayunga Town Council","Ndeeba Senior Secondary School","Government","2020","Girls","","","","","","","","D01S05","ndeeba-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Busaana Town Council","Busaana Secondary School","Government","2020","Boys","","","","","","","","D01S07","busaana-secondary-school_kayunga"
"Kayunga","Ntenjeru","Busaana Town Council","Busaana Secondary School","Government","2020","Girls","","","","","","","","D01S07","busaana-secondary-school_kayunga"
"Kayunga","Ntenjeru","Nazigo Town Council","St Kalemba Senior Secondary School","Government","2020","Boys","","","","","","","","D01S03","st-kalemba-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Nazigo Town Council","St Kalemba Senior Secondary School","Government","2020","Girls","","","","","","","","D01S03","st-kalemba-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kangulumira Town Council","Kangulumira Public Secondary School","Government","2020","Boys","","","","","","","","D01S01","kangulumira-public-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kangulumira Town Council","Kangulumira Public Secondary School","Government","2020","Girls","","","","","","","","D01S01","kangulumira-public-secondary-school_kayunga"
"Kayunga","Bbaale","Galiraya","Galiraya Seed Secondary School","Government","2022","Boys","49.0","37.0","35.0","26.0","0.0","0.0","147.0","D01S12","galiraya-seed-secondary-school_kayunga"
"Kayunga","Bbaale","Galiraya","Galiraya Seed Secondary School","Government","2022","Girls","55.0","40.0","28.0","18.0","0.0","0.0","141.0","D01S12","galiraya-seed-secondary-school_kayunga"
"Kayunga","Bbaale","Bbaale","Bbaale Senior Secondary School","Government","2022","Boys","","","","","","","","D01S09","bbaale-senior-secondary-school_kayunga"
"Kayunga","Bbaale","Bbaale","Bbaale Senior Secondary School","Government","2022","Girls","","","","","","","","D01S09","bbaale-senior-secondary-school_kayunga"
"Kayunga","Bbaale","Kayonza","Naalinya Irene Ndagire Secondary School","Government","2022","Boys","194.0","187.0","178.0","88.0","","","647.0","D01S10","naalinya-irene-ndagire-secondary-school_kayunga"
"Kayunga","Bbaale","Kayonza","Naalinya Irene Ndagire Secondary School","Government","2022","Girls","207.0","184.0","186.0","72.0","","","649.0","D01S10","naalinya-irene-ndagire-secondary-school_kayunga"
"Kayunga","Bbaale","Kitimbwa","Kitatya Senior Secondary School","Government","2022","Boys","111.0","99.0","67.0","71.0","13.0","7.0","368.0","D01S11","kitatya-senior-secondary-school_kayunga"
"Kayunga","Bbaale","Kitimbwa","Kitatya Senior Secondary School","Government","2022","Girls","79.0","123.0","82.0","66.0","9.0","7.0","366.0","D01S11","kitatya-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Busaana","St Peters Kibuzi Senior Secondary School","Government","2022","Boys","74.0","45.0","44.0","18.0","13.0","4.0","198.0","D01S08","st-peters-kibuzi-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Busaana","St Peters Kibuzi Senior Secondary School","Government","2022","Girls","76.0","53.0","41.0","27.0","7.0","11.0","215.0","D01S08","st-peters-kibuzi-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Nazigo","Musiitwa Seed Secondary School","Government","2022","Boys","","","","","","","","D01S04","musiitwa-seed-secondary-school_kayunga"
"Kayunga","Ntenjeru","Nazigo","Musiitwa Seed Secondary School","Government","2022","Girls","","","","","","","","D01S04","musiitwa-seed-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kayunga","Kanjuki Senior Secondary School","Government","2022","Boys","","","","","","","","D01S06","kanjuki-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kayunga","Kanjuki Senior Secondary School","Government","2022","Girls","","","","","","","","D01S06","kanjuki-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kayunga Town Council","Namagabi Senior Secondary School","Government","2022","Boys","134.0","94.0","99.0","59.0","81.0","47.0","514.0","D01S05","namagabi-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kayunga Town Council","Ndeeba Senior Secondary School","Government","2022","Boys","","","","","","","","D01S05","ndeeba-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kayunga Town Council","Namagabi Senior Secondary School","Government","2022","Girls","187.0","116.0","112.0","89.0","70.0","53.0","627.0","D01S05","namagabi-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kayunga Town Council","Ndeeba Senior Secondary School","Government","2022","Girls","","","","","","","","D01S05","ndeeba-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Busaana Town Council","Busaana Secondary School","Government","2022","Boys","","","","","","","","D01S07","busaana-secondary-school_kayunga"
"Kayunga","Ntenjeru","Busaana Town Council","Busaana Secondary School","Government","2022","Girls","","","","","","","","D01S07","busaana-secondary-school_kayunga"
"Kayunga","Ntenjeru","Nazigo Town Council","St Kalemba Senior Secondary School","Government","2022","Boys","","","","","","","","D01S03","st-kalemba-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Nazigo Town Council","St Kalemba Senior Secondary School","Government","2022","Girls","","","","","","","","D01S03","st-kalemba-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kangulumira Town Council","Kangulumira Public Secondary School","Government","2022","Boys","","","","","","","","D01S01","kangulumira-public-secondary-school_kayunga"
"Kayunga","Ntenjeru","Kangulumira Town Council","Kangulumira Public Secondary School","Government","2022","Girls","","","","","","","","D01S01","kangulumira-public-secondary-school_kayunga"
"Kayunga","Bbaale","Galiraya","Galiraya Seed Secondary School","Government","2023","Boys","50.0","46.0","44.0","50.0","","","190.0","D01S12","galiraya-seed-secondary-school_kayunga"
"Kayunga","Bbaale","Galiraya","Galiraya Seed Secondary School","Government","2023","Girls","72.0","58.0","21.0","44.0","","","195.0","D01S12","galiraya-seed-secondary-school_kayunga"
"Kayunga","Bbaale","Bbaale","Bbaale Senior Secondary School","Government","2023","Boys","","","","","","","","D01S09","bbaale-senior-secondary-school_kayunga"
"Kayunga","Bbaale","Bbaale","Bbaale Senior Secondary School","Government","2023","Girls","","","","","","","","D01S09","bbaale-senior-secondary-school_kayunga"
"Kayunga","Bbaale","Kayonza","Naalinya Irene Ndagire Secondary School","Government","2023","Boys","194.0","211.0","102.0","62.0","","","569.0","D01S10","naalinya-irene-ndagire-secondary-school_kayunga"
"Kayunga","Bbaale","Kayonza","Naalinya Irene Ndagire Secondary School","Government","2023","Girls","201.0","164.0","142.0","82.0","","","589.0","D01S10","naalinya-irene-ndagire-secondary-school_kayunga"
"Kayunga","Bbaale","Kitimbwa","Kitatya Senior Secondary School","Government","2023","Boys","128.0","98.0","78.0","58.0","16.0","11.0","389.0","D01S11","kitatya-senior-secondary-school_kayunga"
"Kayunga","Bbaale","Kitimbwa","Kitatya Senior Secondary School","Government","2023","Girls","111.0","79.0","73.0","74.0","10.0","7.0","354.0","D01S11","kitatya-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Busaana","St Peters Kibuzi Senior Secondary School","Government","2023","Boys","101.0","64.0","33.0","33.0","6.0","9.0","246.0","D01S08","st-peters-kibuzi-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Busaana","St Peters Kibuzi Senior Secondary School","Government","2023","Girls","99.0","66.0","39.0","42.0","6.0","4.0","256.0","D01S08","st-peters-kibuzi-senior-secondary-school_kayunga"
"Kayunga","Ntenjeru","Nazigo","Musiitwa Seed Secondary School","Government","2023","Boys","","","","","","","","D01S04","musiitwa-seed-secondary-school_kayunga"
"Kayunga","Ntenjeru","Nazigo","Musiitwa Seed Secondary School","Government","2023","Girls","","","","","","","","D01S04","musiitwa-seed-secondary-school_kayunga"
